iter	Passed	Remaining
0	0	274
1	0	233
2	0	227
3	0	226
4	1	219
5	1	215
6	1	220
7	1	221
8	1	218
9	2	218
10	2	217
11	2	214
12	2	214
13	3	214
14	3	217
15	3	216
16	3	215
17	3	213
18	4	211
19	4	212
20	4	212
21	4	212
22	5	215
23	5	225
24	5	229
25	6	230
26	6	229
27	6	232
28	7	239
29	7	240
30	7	241
31	8	243
32	8	244
33	8	246
34	9	249
35	9	250
36	9	248
37	9	248
38	10	250
39	10	251
40	10	252
41	11	251
42	11	252
43	11	252
44	11	252
45	12	252
46	12	252
47	12	252
48	13	255
49	13	255
50	13	257
51	14	257
52	14	257
53	14	256
54	14	257
55	15	257
56	15	256
57	15	256
58	16	256
59	16	259
60	16	258
61	17	260
62	17	261
63	17	261
64	18	261
65	18	261
66	18	261
67	19	260
68	19	262
69	19	261
70	20	263
71	20	262
72	20	262
73	20	262
74	21	261
75	21	261
76	21	260
77	22	261
78	22	262
79	22	260
80	22	260
81	23	260
82	23	260
83	24	261
84	24	262
85	24	263
86	25	264
87	25	264
88	25	264
89	26	264
90	26	264
91	26	263
92	27	265
93	27	266
94	27	265
95	28	266
96	28	265
97	28	265
98	29	265
99	29	266
100	29	266
101	30	266
102	30	265
103	30	264
104	31	266
105	31	265
106	31	265
107	32	265
108	32	265
109	32	265
110	33	264
111	33	264
112	33	264
113	33	264
114	34	264
115	34	264
116	34	264
117	35	265
118	35	265
119	36	264
120	36	265
121	36	265
122	37	265
123	37	265
124	37	265
125	38	265
126	38	264
127	38	265
128	39	264
129	39	263
130	39	263
131	40	263
132	40	262
133	40	262
134	41	263
135	41	261
136	41	261
137	41	260
138	42	260
139	42	260
140	42	260
141	43	260
142	43	259
143	43	260
144	44	260
145	44	261
146	44	260
147	45	259
148	45	259
149	45	259
150	46	259
151	46	259
152	46	259
153	47	259
154	47	259
155	47	259
156	48	258
157	48	258
158	48	257
159	48	256
160	49	256
161	49	255
162	49	255
163	49	254
164	50	254
165	50	255
166	51	255
167	51	256
168	52	256
169	52	256
170	52	255
171	52	255
172	53	255
173	53	254
174	53	254
175	54	253
176	54	253
177	54	253
178	55	253
179	55	253
180	55	252
181	56	252
182	56	252
183	56	252
184	57	252
185	57	251
186	57	251
187	58	251
188	58	251
189	59	251
190	59	251
191	59	251
192	60	252
193	60	251
194	61	252
195	61	252
196	62	253
197	62	252
198	62	252
199	63	253
200	63	252
201	63	252
202	64	251
203	64	251
204	64	251
205	65	251
206	65	250
207	65	250
208	65	249
209	66	249
210	66	248
211	67	249
212	67	249
213	67	249
214	68	249
215	68	248
216	68	248
217	69	248
218	69	247
219	69	247
220	70	246
221	70	246
222	70	246
223	71	246
224	71	245
225	71	245
226	72	245
227	72	245
228	72	244
229	72	243
230	73	243
231	73	242
232	73	241
233	73	241
234	73	240
235	74	240
236	74	239
237	74	239
238	74	238
239	75	237
240	75	237
241	75	236
242	75	236
243	76	235
244	76	235
245	76	234
246	76	234
247	76	233
248	77	233
249	77	232
250	77	231
251	77	231
252	78	231
253	78	230
254	78	229
255	78	229
256	79	229
257	79	228
258	79	228
259	79	227
260	80	227
261	80	226
262	80	226
263	80	225
264	81	224
265	81	224
266	81	223
267	81	223
268	81	222
269	82	222
270	82	221
271	82	221
272	82	220
273	83	220
274	83	219
275	83	219
276	83	218
277	84	218
278	84	217
279	84	217
280	84	216
281	84	216
282	85	215
283	85	215
284	85	214
285	85	214
286	86	213
287	86	213
288	86	213
289	86	212
290	87	212
291	87	211
292	87	211
293	87	210
294	88	210
295	88	209
296	88	209
297	88	209
298	88	208
299	89	208
300	89	207
301	89	207
302	90	207
303	90	206
304	90	206
305	90	205
306	90	205
307	91	204
308	91	204
309	91	204
310	91	203
311	92	203
312	92	202
313	92	202
314	92	202
315	93	201
316	93	201
317	93	200
318	93	200
319	94	200
320	94	199
321	94	199
322	94	198
323	95	200
324	96	200
325	96	199
326	96	199
327	97	198
328	97	198
329	97	197
330	97	197
331	97	197
332	98	196
333	98	196
334	98	195
335	98	195
336	99	195
337	99	194
338	99	194
339	99	193
340	100	193
341	100	193
342	100	192
343	101	192
344	101	192
345	101	191
346	101	191
347	102	191
348	102	190
349	102	190
350	102	190
351	103	189
352	103	189
353	103	189
354	104	189
355	104	188
356	104	188
357	104	187
358	105	187
359	105	187
360	106	187
361	106	187
362	106	187
363	106	186
364	107	186
365	107	187
366	108	186
367	108	186
368	108	186
369	109	185
370	109	185
371	109	185
372	110	185
373	110	184
374	110	184
375	111	184
376	111	183
377	111	183
378	111	183
379	112	182
380	112	182
381	112	182
382	113	182
383	113	181
384	113	181
385	114	181
386	114	181
387	114	180
388	114	180
389	115	180
390	115	180
391	115	179
392	116	179
393	116	179
394	116	178
395	117	178
396	117	178
397	117	178
398	117	177
399	118	177
400	118	177
401	118	176
402	119	176
403	119	176
404	119	175
405	119	175
406	120	174
407	120	174
408	120	174
409	120	173
410	120	173
411	121	172
412	121	172
413	121	172
414	121	171
415	122	171
416	122	171
417	122	170
418	122	170
419	123	169
420	123	169
421	123	169
422	123	168
423	123	168
424	124	167
425	124	167
426	124	167
427	124	166
428	125	166
429	125	166
430	125	165
431	125	165
432	125	164
433	126	164
434	126	164
435	126	163
436	126	163
437	127	163
438	127	162
439	127	162
440	127	162
441	128	161
442	128	161
443	128	161
444	128	160
445	129	160
446	129	160
447	129	159
448	129	159
449	130	158
450	130	158
451	130	158
452	130	157
453	131	157
454	131	157
455	131	156
456	131	156
457	131	156
458	132	155
459	132	155
460	132	155
461	133	154
462	133	154
463	133	154
464	133	153
465	134	153
466	134	153
467	134	152
468	134	152
469	134	152
470	135	151
471	135	151
472	135	151
473	135	150
474	136	150
475	136	150
476	136	149
477	136	149
478	137	149
479	137	148
480	137	148
481	137	148
482	138	147
483	138	147
484	138	147
485	138	146
486	138	146
487	139	146
488	139	145
