iter	Passed	Remaining
0	57	57165
1	57	28724
2	57	19228
3	58	14477
4	58	11621
5	58	9718
6	58	8359
7	59	7340
8	59	6552
9	59	5913
10	60	5394
11	60	4966
12	60	4602
13	60	4287
14	61	4017
15	61	3779
16	61	3571
17	62	3386
18	62	3216
19	62	3066
20	62	2930
21	63	2806
22	63	2694
23	63	2588
24	63	2493
25	64	2404
26	64	2321
27	64	2246
28	64	2174
29	65	2108
30	65	2046
31	65	1987
32	65	1933
33	66	1882
34	66	1833
35	66	1786
36	67	1744
37	67	1702
38	67	1664
39	67	1629
40	68	1593
41	68	1559
42	68	1526
43	68	1496
44	69	1466
45	70	1451
46	70	1424
47	70	1399
48	70	1375
49	71	1351
50	71	1327
51	71	1304
52	71	1284
53	72	1266
54	72	1246
55	73	1232
56	73	1215
57	73	1199
58	74	1184
59	74	1169
60	75	1156
61	75	1140
62	75	1125
63	76	1111
64	76	1101
65	76	1087
66	77	1075
67	77	1061
68	77	1048
69	77	1035
70	78	1023
71	78	1010
72	78	998
73	78	986
74	79	975
75	79	964
76	79	953
77	79	943
78	80	932
79	80	923
80	80	913
81	80	904
82	80	893
83	81	884
84	81	875
85	81	867
86	81	858
87	82	850
88	82	842
89	82	835
90	82	827
91	83	819
92	83	812
93	83	805
94	83	798
95	84	791
96	84	784
97	84	778
98	84	772
99	85	765
100	85	759
101	85	753
102	85	747
103	86	741
104	86	735
105	86	729
106	86	724
107	87	719
108	87	713
109	87	708
110	87	703
111	88	698
112	88	693
113	88	688
114	88	683
115	89	678
116	89	673
117	89	669
118	89	665
119	90	660
120	90	656
121	90	651
122	90	647
123	91	643
124	91	638
125	91	634
126	91	630
127	91	626
128	92	622
129	92	618
130	92	614
131	92	610
132	93	607
133	93	603
134	93	599
135	93	596
136	94	592
137	94	589
138	94	585
139	94	582
140	95	578
141	95	574
142	95	571
143	95	568
144	95	565
145	96	561
146	96	558
147	96	555
148	96	552
149	96	549
150	97	546
151	97	543
152	97	540
153	97	537
154	98	534
155	98	532
156	98	529
157	98	526
158	99	523
159	99	521
160	99	518
161	99	515
162	99	512
163	100	510
164	100	507
165	100	505
166	100	502
167	100	500
168	101	497
169	101	495
170	101	492
171	101	490
172	102	488
173	102	485
174	102	483
175	102	481
176	103	479
177	103	476
178	103	474
179	103	472
180	103	470
181	104	468
182	104	466
183	104	464
184	104	461
185	105	459
186	105	457
187	105	455
188	105	453
189	106	452
190	106	450
191	106	448
192	106	446
193	106	444
194	107	442
195	107	440
196	107	438
197	107	436
198	108	434
199	108	433
200	108	431
201	108	429
202	108	427
203	109	426
204	109	424
205	109	422
206	109	421
207	110	419
208	110	417
209	110	415
210	110	414
211	111	412
212	111	411
213	111	409
214	111	408
215	112	406
216	112	404
217	112	403
218	112	401
219	112	400
220	113	398
221	113	397
222	113	395
223	113	394
224	114	392
225	114	391
226	114	389
227	114	388
228	114	387
229	115	385
230	115	384
231	115	382
232	115	381
233	116	379
234	116	378
235	116	377
236	116	376
237	117	374
238	117	373
239	117	372
240	117	370
241	118	369
242	118	368
243	118	367
244	118	366
245	119	364
246	119	363
247	119	362
248	119	361
249	120	360
250	120	358
251	120	357
252	120	356
253	120	355
254	121	353
255	121	352
256	121	351
257	121	350
258	122	349
259	122	348
260	122	346
261	122	345
262	122	344
263	123	343
264	123	342
265	123	341
266	123	340
267	124	339
268	124	337
269	124	336
270	124	335
271	125	334
272	125	333
273	125	332
274	125	331
275	126	330
276	126	329
277	126	328
278	126	327
279	127	326
280	127	325
281	127	324
282	127	323
283	128	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	314
292	130	313
293	130	312
294	130	311
295	130	310
296	130	310
297	131	309
298	131	308
299	131	307
300	131	306
301	132	305
302	132	304
303	132	303
304	132	302
305	133	301
306	133	301
307	133	300
308	133	299
309	134	298
310	134	297
311	134	296
312	134	295
313	135	295
314	135	294
315	135	293
316	135	292
317	136	291
318	136	290
319	136	290
320	136	289
321	136	288
322	137	287
323	137	286
324	137	285
325	137	284
326	138	284
327	138	283
328	138	282
329	138	281
330	139	281
331	139	280
332	139	279
333	139	278
334	139	277
335	140	276
336	140	276
337	140	275
338	140	274
339	141	274
340	141	273
341	141	272
342	141	271
343	142	270
344	142	270
345	142	269
346	142	268
347	142	267
348	143	267
349	143	266
350	143	265
351	143	264
352	144	264
353	144	263
354	144	262
355	144	261
356	144	261
357	145	260
358	145	259
359	145	258
360	145	258
361	146	257
362	146	256
363	146	255
364	146	255
365	147	254
366	147	254
367	147	253
368	147	252
369	148	252
370	148	251
371	148	250
372	148	250
373	149	249
374	149	248
375	149	248
376	149	247
377	149	246
378	150	246
379	150	245
380	150	244
381	150	244
382	151	243
383	151	242
384	151	242
385	151	241
386	151	240
387	152	240
388	152	239
389	152	238
390	152	238
391	153	237
392	153	236
393	153	236
394	153	235
395	153	234
396	154	234
397	154	233
398	154	232
399	154	232
400	155	231
401	155	231
402	155	230
403	155	229
404	156	229
405	156	228
406	156	228
407	156	227
408	157	226
409	157	226
410	157	225
411	157	225
412	157	224
413	158	223
414	158	223
415	158	222
416	158	221
417	159	221
418	159	220
419	159	220
420	159	219
421	159	219
422	160	218
423	160	217
424	160	217
425	160	216
426	160	216
427	161	215
428	161	214
429	161	214
430	161	213
431	162	213
432	162	212
433	162	212
434	162	211
435	163	211
436	163	210
437	163	209
438	163	209
439	164	208
440	164	208
441	164	207
442	164	207
443	165	206
444	165	206
445	165	205
446	165	205
447	165	204
448	166	203
449	166	203
450	166	202
451	166	202
452	167	201
453	167	201
454	167	200
455	167	200
456	168	199
457	168	199
458	168	198
459	168	198
460	169	197
461	169	197
462	169	196
463	169	196
464	170	195
465	170	195
466	170	194
467	170	194
468	170	193
469	171	193
470	171	192
471	171	191
472	171	191
473	172	190
474	172	190
475	172	189
476	172	189
477	172	188
478	173	188
479	173	187
480	173	187
481	173	186
482	174	186
483	174	185
484	174	185
485	174	184
486	175	184
487	175	183
488	175	183
489	175	182
490	176	182
491	176	181
492	176	181
493	176	180
494	176	180
495	177	179
496	177	179
497	177	179
498	177	178
499	178	178
500	178	177
501	178	177
502	178	176
503	179	176
504	179	175
505	179	175
506	179	174
507	179	174
508	180	173
509	180	173
510	180	172
511	180	172
512	181	171
513	181	171
514	181	171
515	181	170
516	182	170
517	182	169
518	182	169
519	182	168
520	183	168
521	183	167
522	183	167
523	183	166
524	184	166
525	184	166
526	184	165
527	184	165
528	184	164
529	185	164
530	185	163
531	185	163
532	185	162
533	186	162
534	186	161
535	186	161
536	186	161
537	187	160
538	187	160
539	187	159
540	187	159
541	188	158
542	188	158
543	188	158
544	188	157
545	188	157
546	189	156
547	189	156
548	189	155
549	189	155
550	190	154
551	190	154
552	190	154
553	190	153
554	190	153
555	191	152
556	191	152
557	191	151
558	191	151
559	192	150
560	192	150
561	192	150
562	192	149
563	192	149
564	193	148
565	193	148
566	193	147
567	193	147
568	194	147
569	194	146
570	194	146
571	194	145
572	194	145
573	195	144
574	195	144
575	195	144
576	195	143
577	196	143
578	196	142
579	196	142
580	196	142
581	197	141
582	197	141
583	197	140
584	197	140
585	198	139
586	198	139
587	198	139
588	198	138
589	199	138
590	199	137
591	199	137
592	199	137
593	199	136
594	200	136
595	200	135
596	200	135
597	200	135
598	201	134
599	201	134
600	201	133
601	201	133
602	202	133
603	202	132
604	202	132
605	202	131
606	202	131
607	203	130
608	203	130
609	203	130
610	203	129
611	204	129
612	204	129
613	204	128
614	204	128
615	205	127
616	205	127
617	205	127
618	205	126
619	206	126
620	206	125
621	206	125
622	206	125
623	207	124
624	207	124
625	207	123
626	207	123
627	207	123
628	208	122
629	208	122
630	208	122
631	208	121
632	209	121
633	209	120
634	209	120
635	209	120
636	210	119
637	210	119
638	210	119
639	210	118
640	211	118
641	211	117
642	211	117
643	211	117
644	212	116
645	212	116
646	212	116
647	212	115
648	213	115
649	213	114
650	213	114
651	213	114
652	214	113
653	214	113
654	214	113
655	214	112
656	215	112
657	215	111
658	215	111
659	215	111
660	216	110
661	216	110
662	216	110
663	216	109
664	217	109
665	217	108
666	217	108
667	217	108
668	217	107
669	218	107
670	218	107
671	218	106
672	218	106
673	219	105
674	219	105
675	219	105
676	219	104
677	220	104
678	220	104
679	220	103
680	220	103
681	221	103
682	221	102
683	221	102
684	221	101
685	222	101
686	222	101
687	222	100
688	222	100
689	223	100
690	223	99
691	223	99
692	223	99
693	224	98
694	224	98
695	224	98
696	224	97
697	225	97
698	225	97
699	225	96
700	225	96
701	226	95
702	226	95
703	226	95
704	226	94
705	227	94
706	227	94
707	227	93
708	227	93
709	228	93
710	228	92
711	228	92
712	228	92
713	229	91
714	229	91
715	229	91
716	229	90
717	230	90
718	230	90
719	230	89
720	230	89
721	231	88
722	231	88
723	231	88
724	231	87
725	232	87
726	232	87
727	232	86
728	232	86
729	233	86
730	233	85
731	233	85
732	233	85
733	234	84
734	234	84
735	234	84
736	234	83
737	235	83
738	235	83
739	235	82
740	235	82
741	236	82
742	236	81
743	236	81
744	236	81
745	237	80
746	237	80
747	237	80
748	237	79
749	238	79
750	238	79
751	238	78
752	238	78
753	239	77
754	239	77
755	239	77
756	239	76
757	240	76
758	240	76
759	240	75
760	240	75
761	241	75
762	241	74
763	241	74
764	241	74
765	242	73
766	242	73
767	242	73
768	242	72
769	242	72
770	243	72
771	243	71
772	243	71
773	243	71
774	244	70
775	244	70
776	244	70
777	244	69
778	245	69
779	245	69
780	245	68
781	245	68
782	246	68
783	246	67
784	246	67
785	246	67
786	247	66
787	247	66
788	247	66
789	247	65
790	248	65
791	248	65
792	248	64
793	248	64
794	249	64
795	249	63
796	249	63
797	249	63
798	250	62
799	250	62
800	250	62
801	250	61
802	250	61
803	251	61
804	251	60
805	251	60
806	252	60
807	252	59
808	252	59
809	252	59
810	253	58
811	253	58
812	253	58
813	253	57
814	254	57
815	254	57
816	254	57
817	254	56
818	255	56
819	255	56
820	255	55
821	255	55
822	256	55
823	256	54
824	256	54
825	256	54
826	257	53
827	257	53
828	257	53
829	257	52
830	258	52
831	258	52
832	258	51
833	258	51
834	259	51
835	259	50
836	259	50
837	259	50
838	260	49
839	260	49
840	260	49
841	260	48
842	261	48
843	261	48
844	261	47
845	261	47
846	262	47
847	262	47
848	262	46
849	262	46
